category,parameter,value,classification,origin_and_rationale,verification,limitation,source
Border evidence,"Four numerical limits","3.0; 0.0375; 6.324555; 35.0","development-distribution thresholds","P15 of 41 previously base-accepted P001 clear train/validation cases. Because each branch is a minimum-evidence test, P15 was selected to retain about 85 percent of the reference cases per cue while rejecting its weakest tail.","border_rule_threshold_summary.csv records patient, quality, splits, count and quantile.","Single-patient reference and reuse of the derivation data prevent an independent specificity claim.","Codigos_Segmentacion_Longitudinal/11_ajustar_regla_aceptabilidad_borde.py; results/tables/border_rule_threshold_summary.csv"
Border evidence,"Branch combination","(bright delta AND bright ratio) OR gradient OR local contrast","fixed anatomical-evidence logic","The bright branch needs both greater intensity and enough bright pixels. Logical OR across bright, gradient and local-contrast branches permits alternative numerical manifestations of a visible border instead of requiring all three simultaneously.","The branch flags and final OR are stored for every evaluated frame.","No comparison of AND versus OR was performed on an independent cohort.","Codigos_Pipeline_Experimental_Segmentacion/src/longitudinal_quality_rules.py:evaluate_border_rule"
DINO preprocessing,"Fan-isolation constants","top 10 percent and lateral 7 percent excluded; max(24,background median+8); close 17x17 x2; open 5x5 x1; component >=8 percent; box width/height >=35 percent and width <=92 percent; margin 8","fixed deterministic preprocessing safeguards","Suppress annotations and dark margins, join the fan interior, remove small islands and reject implausible geometry; failed geometry falls back to the full frame rather than discarding a sample.","Fan detection succeeded in 840/840 audited development and external sampled images. Final use of crop versus full frame was selected by LOPO evidence per view.","Constants were not optimized by a crop-parameter grid and may depend on device layout.","Codigos_DINO_Experimental/src/ultrasound_preprocessing.py; outputs/dino_experimental/binary_improvement/reports/06_fan_crop_audit.csv"
DINO sampling,"Source-frame stride",5,"fixed computational sampling decision","Adjacent frames were highly redundant; sampling one in five reduces embedding extraction by 80 percent while retaining chronological coverage within every video. The same reset-per-video rule was used for development and external evaluation.","The redundancy audit found 3998/4000 adjacent pairs below the declared 0.005 normalized-MAD audit cutoff; stride 5 produced 651 development embeddings.","The 0.005 audit cutoff and stride 5 were not selected by a task-performance sweep.","Codigos_DINO_Experimental/src/dino_embeddings.py; outputs/dino_experimental/reports/00_dino_temporal_redundancy.csv"
DINO representation,"Temporal window",5 embeddings; mean plus population standard deviation; 768 values,"experimentally selected representation","Mean represents central visual content and standard deviation represents short-window variation without changing the frozen 384-dimensional extractor. Window5 competed against single-frame input under LOPO validation.","All three deployed view-specific winners used window5; first four GUI evaluations are necessarily warm-up.","Only single-frame and five-embedding alternatives were compared; other lengths were not tested.","results/tables/08_binary_winners_by_view.csv; Codigos_DINO_Experimental/src/binary_temporal.py"
DINO classifiers,"Classifier hyperparameters","RF 300 trees and leaf 2; LR C=1 and max_iter 5000; 7-NN with distance weighting","fixed candidate definitions plus experimental classifier selection","Fixed candidate settings prevented per-view hyperparameter searches from exploiting the small cohort. Balanced RF/LR weights address unequal anchor counts; leaf 2 and seven distance-weighted neighbors reduce one-sample decisions; max_iter 5000 is a convergence ceiling.","Classifier family was selected separately by LOPO video macro-F1 with sample F1 and deployment cost as tie-breakers.","The numerical hyperparameters themselves were not tuned and are not claimed optimal.","Codigos_DINO_Experimental/src/classification.py; results/tables/08_binary_winners_by_view.csv"
DINO binary evaluation,"Probability boundary",0.50,"fixed binary convention","The midpoint of P(clear) provides a prespecified binary boundary and avoids adapting the independent metric to P005.","Used consistently for classifier comparison and P005 binary metrics.","predict_proba values are model scores and were not clinically calibrated probabilities.","Codigos_DINO_Experimental/src/binary_temporal.py:clear_probabilities"
DINO interface,"Action-precision target and deployed abstention limits","target 0.90; adjust <=0.35; doubtful 0.35 to 0.65; capture >=0.65","data-search followed by explicit heuristic fallback","The OOF search sought high-coverage actions with at least 0.90 precision, but selected 0.50 for both limits. The code therefore opened a symmetric 0.30-wide uncertainty interval around 0.50 to avoid contradictory red and green boundaries.","On the same OOF anchor videos, all red/green actions were correct: transverse clear 3/3 and blurry 2/3 acted; oblique 4/4 and 3/3; hepatorenal 1/3 and 2/4. Remaining anchors were yellow.","Fallback limits and 0.90 target were not independently optimized or clinically calibrated; OOF verification uses the development cohort.","Codigos_DINO_Experimental/src/binary_temporal.py:calibrate_abstention_thresholds; results/tables/operational_threshold_oof_audit.csv"
Temporal guidance,"Longitudinal majority and capture confirmation","five-decision deque; most-recent tie-break; three consecutive capture decisions","fixed stabilization logic","The short majority suppresses isolated state changes, the recent-state tie-break makes the rule deterministic, and a three-decision streak prevents one or two positive spikes from producing green feedback.","Shared offline and GUI classes were tested and record raw, stable and confirmed states separately.","No temporal-length or confirmation-count ablation was performed; added latency depends on source FPS and stride.","Codigos_Pipeline_Experimental_Segmentacion/src/temporal_guidance.py"
Storage,"Capture cooldown",10 evaluated frames,"fixed storage-only rule","Reduces near-duplicate saved images after a confirmed capture. It does not change raw classification, stabilization or binary metrics.","The saved-capture flag and evaluated-frame index are stored in session CSV files.","No diversity optimization was performed and elapsed time varies with stride and video FPS.","Codigos_Pipeline_Experimental_Segmentacion/evaluate_p005_longitudinal_final.py; gui_adquisicion_hepatica.py"
GUI,"Green, yellow and red mapping","green confirmed; yellow uncertainty/fine adjustment; red insufficient evidence","fixed user-feedback design","Yellow separates an incomplete LA-dependent longitudinal decision or intermediate DINO score from a definitive rejection, allowing the user to preserve the anatomical window and adjust the probe. Green requires confirmation; red is reserved for insufficient view evidence.","The GUI screenshot and session records show all mappings; technical raw states remain stored.","The colors are operational guidance, not three expert clinical labels, and no user study evaluated their usability.","Codigos_Pipeline_Experimental_Segmentacion/gui_adquisicion_hepatica.py"
